,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
190,許玉玟,2019年3月15日,3, 叫了3次，第三次才算順利，還不錯,有無科技2019年3月19日如果有不足的地方都可即時至LINE@跟小編反應唷(˶‾᷄ ⁻̫ ‾᷅˵),0
191,蔡元賓,2019年3月10日,5, 值得推薦!!,,0
192,kairu zeng,2019年3月10日,1, 昨晚就預定餐點 預計11：30～50送達 結果至12：18還沒送到 太扯了！！！！！！！ 後請客服取消訂單 雖有補償$50優惠卷 但評價完就要刪app了 也不會使用😊 大家如果心臟不好 千萬要小心喔😊,有無科技2019年3月19日編很抱歉造成您不好的使用體驗😔希望之後有機會再為您服務,0
193,Jojo Shen,2019年3月6日,5, 操作簡單，運費合理,,0
194,陳昭宏,2019年3月5日,5, 使用蠻方便的,,0
195,林宗甫,2019年3月16日,5, 優惠碼 80751862,,0
196,李翠華,2019年3月18日,5, 客服服務好,,0
197,Google 使用者,2019年3月24日,1, 最糟的訂購經驗,有無科技2019年3月26日怎麼了😱有問題可以到LINE@跟編反應喲,0
198,木舌咖啡職人,2019年3月8日,5, 讚到嫑嫑,,1
199,趙大衛,2019年3月15日,5, 速度快，服務好，會送上樓，讚,,0
200,주소미,2019年3月2日,5, 감사합니다,,1
201,徐玉玲,2019年3月9日,4, 還不錯,,0
202,蔡岑甄,2019年3月10日,5, 系統不錯,,0
203,coling hsu,2019年3月9日,4, 回應快速,,0
204,林瑩津,2019年3月10日,5, 方便，讚！,,0
205,peggy YU,2019年3月16日,4, 服務好,,0
206,Google 使用者,2019年3月19日,5, 不錯喔,,0
207,御小痕,2019年3月9日,1, 範圍小，沒用 。,有無科技2019年3月10日希望之後有機會擴區為您服務🥺不好意思,0
208,洪于捷,2019年3月8日,5, 加油∼,,0
209,Google 使用者,2019年3月8日,5, 棒,,0
210,陳建隆,2019年3月7日,5, 方便,,0
211,Sandy Yu,2019年3月9日,5, 好用,,0
212,Gigi Liu,2019年3月9日,5, 好用,,0
213,逆心,2019年3月20日,5, 好,,0
214,Kevin Lee,2019年3月24日,5, good,,0
215,Google 使用者,2019年3月24日,5, 讚,,0
216,Liu Jichang,2019年3月28日,5, good,,0
217,羅小敏,2019年3月7日,4, 👍👍👍,,0
218,Google 使用者,2019年3月6日,5, 😄,,0
